A̱o,Precio,Antioquia,Caribe,Centro,Oriente,Valle 
1/01/2009,129073.98,0.916602,0.8354403,0.65264957,0.81261211,0.80938842
1/02/2009,122226.26,0.7964519,0.35109424,0.56014433,0.43266055,0.61246851
1/03/2009,108177.7,0.7964519,0.35109424,0.56014433,0.43266055,0.61246851
1/04/2009,102680.45,0.78874614,0.1511749,0.54908761,0.38483496,0.72086447
1/05/2009,118081.82,0.83712157,0.1511749,0.5350478,0.28659562,0.66691443
1/06/2009,125597.32,0.82667507,0.17390785,0.54730187,0.35497995,0.72789301
1/07/2009,125516.87,0.82439233,0.25577769,0.59149741,0.61867296,0.70916573
1/08/2009,127687.92,0.77969722,0.20953856,0.63040431,0.83883924,0.65957397
1/09/2009,182509.5,0.73397524,0.26040966,0.63586886,0.815814,0.54689096
1/10/2009,188705.86,0.69966382,0.24394746,0.59344437,0.72771205,0.47712742
1/11/2009,152514.53,0.82029251,0.71333876,0.56889582,0.77435022,0.50799499
1/12/2009,195030.26,1.0156344,1.03860211,0.54527536,0.85193358,0.8622715
1/01/2010,152161.31,0.76891029,0.82456847,0.46071146,0.62396047,0.710659
1/02/2010,196040.99,0.57105574,0.73496645,0.36691163,0.34803401,0.4644352
1/03/2010,190130.39,0.57105574,0.73496645,0.36691163,0.34803401,0.4644352
1/04/2010,195548.56,0.52452417,0.54785159,0.39445351,0.29125142,0.48411043
1/05/2010,150349.35,0.50295062,0.68702596,0.42314343,0.36466449,0.5305164
1/06/2010,91349.56,0.55279728,0.5684508,0.45200147,0.52837353,0.64615177
1/07/2010,82944.66,0.63657216,0.61544017,0.47077295,0.67282428,0.68307099
1/08/2010,84858.16,0.67197144,0.72381623,0.49739265,0.83456487,0.65047965
1/09/2010,112309.44,0.7406717,0.79663997,0.50935335,0.79444284,0.53198415
1/10/2010,136522.22,0.85304027,0.75233344,0.51190918,0.72286403,0.45116328
1/11/2010,91938.4,0.97774845,0.92482523,0.5367873,0.8218601,0.71828947
1/12/2010,66690.02,1.03758676,0.82442639,0.76107696,0.98647535,0.9320701
1/01/2011,89486.76,0.94210344,0.87255899,0.51821751,0.74600975,0.76061853
1/02/2011,105682.96,0.73209773,0.5360947,0.48257985,0.41515493,0.64221797
1/03/2011,79867.26,0.73209773,0.5360947,0.48257985,0.41515493,0.64221797
1/04/2011,73416.35,0.87783918,0.48945087,0.53209089,0.41444435,0.72351887
1/05/2011,58490.71,0.99209261,0.29786957,0.65262731,0.79398534,0.86101674
1/06/2011,60061.22,0.94787157,0.33444257,0.67467583,0.90174738,0.86710073
1/07/2011,55513.86,0.9812031,0.49781349,0.67094658,0.93386902,0.8835955
1/08/2011,88978.62,0.92380734,0.64010082,0.6668278,0.97578422,0.76800625
1/09/2011,92357.54,0.90230934,0.6642459,0.65614888,0.96145771,0.65875497
1/10/2011,72865.68,0.93799728,0.7314062,0.64257384,0.94020436,0.60967162
1/11/2011,70538.58,0.98734034,0.66976624,0.68592546,0.96059886,0.65587082
1/12/2011,55756.06,0.77534717,0.86385475,0.76707028,0.75835193,0.50863891
1/01/2012,53609.92,0.97016468,0.88184432,0.7132506,0.9337054,0.84737549
1/02/2012,78493.72,0.75413356,0.45198324,0.63497636,0.56725901,0.48022504
1/03/2012,119104.93,0.75413356,0.45198324,0.63497636,0.56725901,0.48022504
1/04/2012,56993.98,0.80954749,0.38992004,0.67942187,0.62386169,0.53747032
1/05/2012,46856.95,0.92563086,0.61890752,0.73212061,0.82797019,0.59768452
1/06/2012,87339.37,0.8757293,0.54379453,0.77338728,0.95219827,0.66340934
1/07/2012,79442.84,0.9110777,0.57613095,0.77850394,0.97603468,0.70828858
1/08/2012,140235.09,0.82598693,0.69481292,0.84315563,0.9759638,0.61532793
1/09/2012,183374.21,0.79579759,0.76763707,0.84269119,0.974654,0.48261338
1/10/2012,198003.11,0.74546785,0.82674278,0.8191134,0.90219243,0.39599971
1/11/2012,166993.52,0.79837577,0.85034086,0.80295404,0.854023,0.42766332
1/12/2012,180339.17,0.71711709,0.88997504,0.63443201,0.82002239,0.57206611
1/01/2013,184455.7,0.64423656,0.71729757,0.72701516,0.64977242,0.55402046
1/02/2013,180986.59,0.42386863,0.4821268,0.63779925,0.33025788,0.44374283
1/03/2013,137538.2,0.42386863,0.4821268,0.63779925,0.33025788,0.44374283
1/04/2013,229824.22,0.32053947,0.36588394,0.59109406,0.17799157,0.29650988
1/05/2013,139815.15,0.3250842,0.43305152,0.61229457,0.21299367,0.42550768
1/06/2013,143102.36,0.40747682,0.45977868,0.66828219,0.40956873,0.60111934
1/07/2013,232140.57,0.44312602,0.46917996,0.65998269,0.4974623,0.61234597
1/08/2013,150550.43,0.43883698,0.57022822,0.6850309,0.76354478,0.57087118
1/09/2013,144203.27,0.50730459,0.74299366,0.67074589,0.86700998,0.4827801
1/10/2013,211938.33,0.55534223,0.80068457,0.64438108,0.84226782,0.3959604
1/11/2013,210385.51,0.64530651,0.82807468,0.63322724,0.8293465,0.42760941
1/12/2013,164032.99,0.86199014,0.91505461,0.65232191,0.89415542,0.72624414
1/01/2014,160502.09,0.70021717,0.78769759,0.59647857,0.73108529,0.71823911
1/02/2014,187677.93,0.55839599,0.39740461,0.56431042,0.38246625,0.74663049
1/03/2014,151303.09,0.55839599,0.39740461,0.56431042,0.38246625,0.74663049
1/04/2014,373746.94,0.46133014,0.18644632,0.52802389,0.19404028,0.61532596
1/05/2014,381979,0.56267223,0.22776176,0.51728966,0.25522843,0.70951537
1/06/2014,334871.49,0.64167356,0.39856921,0.52289138,0.49498665,0.79332152
1/07/2014,184669.63,0.66681921,0.66140282,0.64511808,0.90566366,0.80610437
1/08/2014,200137.62,0.68876818,0.67298329,0.706693,0.97741035,0.76701677
1/09/2014,177426.95,0.66781952,0.86156073,0.70608482,0.98929715,0.6472683
1/10/2014,207032.57,0.73034151,0.87090407,0.70036605,0.94012717,0.57025334
1/11/2014,166568.14,0.86524147,0.92097644,0.67083902,0.91448768,0.62592409
1/12/2014,175056.75,0.71643232,0.89515183,0.55650716,0.76517964,0.3104359
1/01/2015,189608.71,0.77750807,0.77891828,0.60914129,0.73201826,0.72207447
1/02/2015,168202.62,0.57892997,0.45578366,0.52709432,0.34313534,0.49612333
1/03/2015,206776.64,0.57892997,0.45578366,0.52709432,0.34313534,0.49612333
1/04/2015,160693.58,0.5435314,0.34706112,0.49707004,0.25103755,0.43796722
1/05/2015,256567.3,0.48143523,0.23237326,0.4702072,0.1887217,0.3839728
1/06/2015,183164.6,0.59316352,0.61183735,0.50590043,0.4492615,0.42950362
1/07/2015,203399.48,0.54021831,0.41535834,0.61707407,0.87752493,0.41439212
1/08/2015,182073.03,0.59981111,0.42974447,0.68078573,0.99544495,0.40599896
1/09/2015,476218.59,0.62879863,0.66333837,0.68829934,0.98186817,0.25926509
1/10/2015,1109555.72,0.62574919,0.76929646,0.64263402,0.83736541,0.18262415
1/11/2015,764125.59,0.67173753,0.92281416,0.60925436,0.8046504,0.23773092
1/12/2015,634996.36,0.8581,0.9341,0.5694,0.8954,0.5092
1/01/2016,558098.1,0.64323162,0.82021374,0.51394375,0.64969043,0.29596605
1/02/2016,643569.46,0.0877,0.366,0.3904,0.335,0.2336
1/03/2016,831197.07,0.0877,0.366,0.3904,0.335,0.2336
1/04/2016,345185.4,0.0969,0.1359,0.3646,0.3492,0.246
1/05/2016,140588,0.5344,0.3859,0.3641,0.3439,0.383
1/06/2016,168517.13,0.5059,0.5608,0.3843,0.4475,0.403
1/07/2016,129155.77,0.4749,0.5922,0.4666,0.7343,0.4211
1/08/2016,198012.72,0.415,0.5783,0.4903,0.8591,0.3811
1/09/2016,150592.07,0.5061,0.6487,0.4966,0.96,0.3107
1/10/2016,181167.22,0.6069,0.6868,0.4792,0.9257,0.2831
1/11/2016,166532.59,0.7275,0.901,0.5102,0.9291,0.4007
1/12/2016,107352.33,0.8385,0.9203,0.5186,0.7635,0.7405
1/01/2017,111560.5,0.8681,0.9086,0.5416,0.7527,0.7031
1/02/2017,156991.87,0.7304,0.6896,0.441,0.4101,0.6367
1/03/2017,119808.6,0.7304,0.6896,0.441,0.4101,0.6367
1/04/2017,96475.31,0.8148,0.6535,0.4937,0.3797,0.6781
1/05/2017,71646.76,0.9262,0.7798,0.5314,0.4977,0.8851
1/06/2017,68499.89,0.959,0.7665,0.5383,0.7623,0.9145
1/07/2017,66851.61,0.9378,0.8591,0.5551,0.8903,0.9329
1/08/2017,89575.34,0.878,0.7927,0.5567,0.9401,0.824
1/09/2017,120824.93,0.8655,0.8138,0.5095,0.9267,0.6646